#{"t_start": 1652188045.377205, "env_id": null}
r,l,t
-0.419368,3,9.487434
-0.984713,2,9.503055
-0.717052,2,9.518676
2.297709,4,9.549919
-0.247412,2,9.56554
0.698052,4,9.596783
-0.377269,2,9.612404
-0.334731,4,9.659276
-0.057291,4,9.690511
-0.125089,3,9.72383
1.540746,4,9.760137
-0.590163,3,9.775758
-1.023943,2,9.791379
0.01481,3,9.822622
0.379466,4,9.853865
-0.690659,3,9.897676
-0.878572,2,9.914631
-0.328212,4,9.951023
2.344648,4,9.982266
-0.36073,3,9.997888
-0.78585,3,10.02913
0.068878,4,10.060373
-0.294969,3,10.091616
0.891083,4,10.122858
0.628305,3,10.138479
-0.038209,4,10.185343
-0.442376,3,10.200965
-0.951174,2,10.216587
-0.157158,3,10.247829
-0.457364,3,10.279071
2.313658,4,10.310314
-0.189481,2,10.325941
-1.059894,3,10.341556
-0.037303,3,10.372799
0.131507,4,10.404042
0.094445,4,10.435285
-0.251974,3,10.466527
0.949597,4,10.505239
-0.315434,3,10.52921
0.048573,3,10.548846
-1.037607,2,10.564467
-0.515959,3,10.59571
-0.794674,2,10.611331
-1.106621,2,10.626952
-1.094288,3,10.658195
1.393426,4,10.689438
1.385844,4,10.72068
-0.657966,3,10.751923
-0.938527,2,10.767545
-0.719718,3,10.798787
-0.372971,3,10.83003
2.045503,4,10.861272
-0.106665,3,10.892602
-0.248687,2,10.908137
2.461843,4,10.939379
-0.236105,4,10.970622
-1.207599,2,10.986243
0.040759,3,11.017485
0.476428,3,11.033107
0.093949,4,11.079971
-0.76235,2,11.099774
-0.690247,2,11.115731
0.036036,4,11.146728
-0.77857,3,11.177971
-0.484619,3,11.209259
-0.745838,3,11.240456
2.277068,4,11.271699
-0.888692,2,11.28732
-0.188779,4,11.318563
-0.36172,2,11.334184
-0.334232,3,11.365427
-1.108132,2,11.381049
-0.409653,4,11.412291
1.966934,4,11.443533
-0.052512,3,11.474776
1.32163,4,11.506019
0.301468,4,11.537261
-0.909848,2,11.568504
-0.230725,2,11.568504
-0.521098,2,11.584126
-0.787695,3,11.615368
0.353552,4,11.64661
-0.711524,3,11.677853
-0.093024,3,11.710454
-0.920998,3,11.737381
0.34183,4,11.76035
-0.856345,2,11.775971
0.911033,4,11.807214
0.186768,4,11.854078
0.413194,4,11.8874
0.498071,4,11.918643
-0.296382,3,11.949886
-0.095629,3,11.981128
-0.918058,2,11.996749
-1.038243,2,12.01237
-0.059207,3,12.027991
0.372091,4,12.074855
0.549313,4,12.106098
0.281439,3,12.12172
-0.096357,2,12.137341
0.100483,4,12.168584
-0.820416,2,12.184205
0.234484,3,12.215447
-0.463549,2,12.231069
-0.899728,3,12.24669
-0.414026,2,12.262312
-0.030054,4,12.293554
0.266312,4,12.342899
0.438862,4,12.361857
-0.604688,3,12.3931
0.109244,4,12.439964
-1.030811,3,12.471207
0.191902,3,12.486829
0.165548,3,12.518071
-0.067147,3,12.533692
-0.017846,4,12.564934
-0.439111,3,12.596178
-0.877844,2,12.611799
-0.806196,3,12.643041
0.055034,3,12.658663
-0.976406,2,12.689905
0.514417,4,12.721148
0.078414,3,12.736769
-0.085717,3,12.768012
-0.940826,3,12.799255
1.388686,4,12.830498
0.219211,3,12.86174
-0.009354,3,12.877362
