#{"t_start": 1640326699.8127866, "env_id": null}
r,l,t
-0.478394,26,15.310127
-1.267278,22,15.336058
-2.246267,26,15.36112
-1.936313,28,15.392363
0.914882,22,15.423605
-0.367372,25,15.454848
-3.733467,23,15.470469
-3.651232,24,15.513068
0.028263,27,15.544449
0.326063,23,15.560071
-0.814991,22,15.591313
0.646542,26,15.628738
0.245358,23,15.656663
1.348932,26,15.689575
0.562275,24,15.718497
-2.671526,25,15.749696
1.028271,23,15.77775
0.839343,24,15.805675
-0.993059,24,15.826721
-1.138031,25,15.857964
-1.513564,21,15.889341
0.111197,25,15.918263
-0.303954,21,15.940285
-2.595824,21,15.955907
-1.530603,18,15.98715
-0.836453,32,16.028749
-2.814237,27,16.06166
-2.951021,21,16.077751
-0.944409,25,16.108994
0.155755,25,16.140236
-0.466904,27,16.171479
0.557576,24,16.218946
0.8866,22,16.245874
-3.004258,26,16.276791
-0.674911,28,16.309986
-0.054742,25,16.327754
-3.823056,27,16.358997
-0.09385,22,17.141524
0.584907,27,17.167159
0.133483,28,17.198402
0.692737,28,17.229644
-2.930038,22,17.265026
-2.17948,30,17.294346
-1.529524,21,17.325589
-0.250599,30,17.356831
0.625879,25,17.388074
0.857329,20,17.403695
0.216084,23,17.434938
-0.75272,22,17.466181
-2.806091,22,17.481802
1.203682,20,17.513044
0.846656,24,17.528666
1.70634,20,17.559909
-0.028619,25,17.591151
-2.205032,21,17.62102
1.141762,25,17.650366
-1.241174,28,17.683278
0.288782,20,17.69434
-0.927802,28,17.742426
-4.189518,25,17.760412
0.122756,26,17.791655
0.189308,21,17.822897
0.21841,24,17.85414
0.658043,22,17.869762
0.372113,22,17.901004
-0.866527,20,17.932247
1.491623,21,17.947867
-1.639008,29,17.97911
-0.077621,19,18.010353
0.520602,24,18.041595
0.459571,25,18.057217
-3.585209,27,18.104081
1.191139,27,18.135323
-3.422979,21,18.150945
0.324613,25,18.197809
-1.253321,27,18.228712
1.731924,19,18.248346
0.209521,20,18.274975
-0.984001,26,18.294334
-0.07139,24,18.33268
0.29025,24,18.361833
-2.925424,32,18.391447
1.047842,28,18.422689
-3.361048,24,18.453932
0.466904,28,18.485174
-1.339562,23,18.516418
-1.476307,26,18.54766
1.155273,25,18.578903
-0.737591,24,18.594524
0.18685,22,18.633979
-1.805942,23,18.662012
